"user_id","FScore","FBRScore","MScore","FWBRScore","MFWBRScores"
6661698309,4,5,4,5,"5 4"
6665838501,3,5,2,1,"1 2"
6675153933,1,1,2,2,"2 2"
6675283314,2,1,1,3,"3 1"
6675930219,4,5,4,4,"4 4"
6676835886,4,1,4,5,"5 4"
6694172940,2,1,3,3,"3 3"
6702065181,3,1,3,4,"4 3"
6704394039,4,3,3,4,"4 3"
6704523420,3,1,4,4,"4 4"
6719660997,3,3,2,2,"2 2"
6732081573,2,1,2,3,"3 2"
6739715052,4,5,3,3,"3 3"
6761451060,1,2,1,1,"1 1"
6765332490,3,3,2,2,"2 2"
6782540163,4,4,4,5,"5 4"
6791338071,1,1,2,2,"2 2"
6798971550,4,4,3,3,"3 3"
6800394741,2,2,2,2,"2 2"
6801817932,2,1,3,3,"3 3"
6805958124,4,5,3,2,"2 3"
6812685936,3,1,3,5,"5 3"
6820448796,2,1,3,3,"3 3"
6823165797,2,1,3,3,"3 3"
6831575562,4,5,4,5,"5 4"
6833386896,4,5,4,5,"5 4"
6840502851,1,2,1,1,"1 1"
6849947664,2,1,2,3,"3 2"
6854346618,1,1,2,2,"2 2"
6855640428,1,1,2,2,"2 2"
6859392477,3,4,1,1,"1 1"
6862368240,2,1,2,3,"3 2"
6875176959,1,1,2,2,"2 2"
6886950630,2,1,3,3,"3 3"
6889797012,1,1,1,2,"2 1"
6893290299,3,1,2,4,"4 2"
6894713490,1,1,2,2,"2 2"
6905322732,1,1,2,2,"2 2"
6907134066,1,1,2,2,"2 2"
6908039733,4,1,4,5,"5 4"
6912050544,1,1,1,2,"2 1"
6912697449,1,1,1,2,"2 1"
6914250021,1,1,1,2,"2 1"
6914896926,4,1,4,5,"5 4"
6919554642,3,4,2,2,"2 2"
6923953596,3,3,3,2,"2 3"
6927835026,1,1,1,2,"2 1"
6927964407,2,1,3,3,"3 3"
6958627704,1,1,2,2,"2 2"
6970660137,3,2,3,4,"4 3"
6974541567,1,1,1,2,"2 1"
6982951332,1,1,1,2,"2 1"
6986444619,4,2,4,5,"5 4"
6989161620,2,2,2,2,"2 2"
6994854384,1,2,1,1,"1 1"
7007145579,1,1,1,2,"2 1"
7009862580,4,5,4,5,"5 4"
7014520296,4,1,4,5,"5 4"
7015943487,4,5,4,5,"5 4"
7017754821,3,1,3,4,"4 3"
7019178012,4,5,4,5,"5 4"
7023318204,3,1,4,5,"5 4"
7031857350,3,4,2,1,"1 2"
7034833113,4,5,3,2,"2 3"
7037938257,1,2,1,1,"1 1"
7042337211,1,2,1,1,"1 1"
7060321170,4,4,3,3,"3 3"
7065367029,4,4,4,4,"4 4"
7076881938,1,2,1,1,"1 1"
7082704083,3,2,3,4,"4 3"
7083350988,1,1,3,2,"2 3"
7083739131,4,5,4,2,"2 4"
7091243229,1,1,1,2,"2 1"
7099135470,1,1,2,2,"2 2"
7110650379,2,1,3,3,"3 3"
7116213762,3,1,4,4,"4 4"
7135879674,4,5,4,5,"5 4"
7140925533,3,3,4,3,"3 4"
7141313676,3,3,2,2,"2 2"
7141831200,2,1,3,3,"3 3"
7149594060,4,1,4,5,"5 4"
7153734252,1,1,2,2,"2 2"
7161755874,1,1,1,2,"2 1"
7193971743,3,3,3,2,"2 3"
7197982554,3,2,3,3,"3 3"
7198888221,1,1,2,2,"2 2"
7202769651,2,3,1,1,"1 1"
7214025798,3,1,2,4,"4 2"
7216613418,2,1,2,3,"3 2"
7224893802,4,5,4,5,"5 4"
7233432948,2,1,2,3,"3 2"
7241066427,3,4,2,1,"1 2"
7241583951,1,1,2,2,"2 2"
7243783428,3,2,2,4,"4 2"
7246500429,1,1,1,2,"2 1"
7251416907,3,2,4,4,"4 4"
7255168956,3,2,3,4,"4 3"
7281303918,1,2,1,1,"1 1"
7286220396,1,2,1,1,"1 1"
7293595113,4,1,3,5,"5 3"
7303686831,1,1,2,2,"2 2"
7310802786,1,1,1,2,"2 1"
7322835219,2,1,3,3,"3 3"
